,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
88,99.85,111.32,116.24,115.14,95.76,91.31,84.6,85.06,81.81,73.665,82.64,84.335,74.782,80.232,81.951,79.402,94.904,94.267,99.544,92.884,97.388,99.769
89,99.51,110.64,116.22,114.73,95.11,91.75,84.45,84.63,81.89,73.225,82.795,84.613,75.517,80.257,82.875,79.961,95.1,93.79,99.559,92.516,97.164,100.27
90,100.14,110.72,116.52,114.18,95.16,91.84,84.95,84.31,82.18,73.12,82.42,84.967,75.417,80.404,83.231,79.965,94.606,94.128,99.505,92.411,97.125,99.956
91,100.61,111.4,116.98,114.3,94.72,91.44,85.52,84.07,82.02,73.435,82.625,85.342,75.938,80.748,83.365,80.213,93.643,94.593,99.131,92.462,97.12,100.291
92,100.59,109.75,117.22,115.25,94.88,92.15,86.1,83.83,81.97,73.565,82.37,86.231,75.651,81.38,83.713,80.135,93.505,94.55,98.801,93.093,97.322,100.507
93,100.79,110.4,116.8,114.3,94.73,91.78,86.12,84.39,81.66,73.49,83.15,86.377,75.545,81.524,83.961,80.064,93.18,94.531,97.998,93.281,97.376,100.434
94,100.73,111.23,116.24,114.34,95.41,91.16,86.2,84.01,82.05,72.96,82.755,87.315,75.632,81.54,83.722,80.107,94.269,95.063,97.462,93.375,97.678,99.681
95,100.62,111.99,116.16,113.18,94.18,91.41,85.81,84.71,82.23,73.175,82.055,86.54,75.277,81.424,84.387,80.048,95.363,95.294,97.772,93.544,97.824,99.366
96,100.99,112.09,116.46,112.93,93.9,90.66,86.1,84.41,82.11,72.52,81.08,85.706,75.579,81.232,83.842,80.093,95.509,95.343,97.03,93.581,97.764,99.135
97,101.28,111.35,116.58,112.94,93.4,91.15,86.67,84.73,82.26,72.08,80.64,85.537,76.234,81.648,83.955,80.15,95.329,95.216,96.881,93.526,97.896,99.403
98,101.59,110.98,117.79,112.46,93.68,90.57,86.37,84.23,82.31,72.4,80.055,86.337,76.023,82.235,84.459,80.305,96.11,95.576,97.264,93.918,97.881,99.888
99,101.4,111.05,118.41,112.95,93.71,90.59,86.39,84.23,82.22,71.97,80.115,86.888,76.03,82.487,83.803,80.45,96.11,95.34,97.147,93.701,97.723,99.888
100,101.264,111.12,118.45,112.89,93.13,89.962,86.322,84.87,82.34,72.12,80.289,87.312,75.731,82.523,83.758,80.45,97.482,95.1656,97.176,94.13,97.477,98.9086
101,102.002,110.562,118.31,113.1,92.894,89.946,86.814,84.522,82.22,72.502,80.589,86.418,75.21,82.611,83.758,80.4276,97.6232,95.502,97.324,94.038,97.477,99.054
102,101.958,108.852,118.388,112.322,93.748,88.92,86.326,85.054,82.14,72.787,80.758,86.786,75.318,82.7506,84.224,80.6652,97.284,95.503,97.284,94.609,97.734,98.3648
103,102.23,108.64,118.472,111.774,93.092,89.268,87.704,83.976,82.2,73.339,79.774,86.942,75.072,83.323,83.817,80.6108,97.2924,95.89,97.089,93.848,97.821,98.3266
104,101.75,108.418,119.422,111.592,93.63,89.28,88.02,84.378,82.05,73.262,79.61,87.085,75.196,83.445,83.223,80.4944,97.868,95.471,96.69,93.603,97.729,97.79
105,102.48,108.64,119.28,112.31,93.86,89.26,87.62,84.4,82.04,73.37,78.935,87.257,74.79,83.343,83.617,80.798,96.253,95.571,96.936,93.729,97.242,97.631
106,102.59,107.72,119.52,111.88,93.96,89.36,87.94,83.64,81.75,73.69,80.045,87.584,74.217,83.061,82.978,80.708,95.889,93.988,96.45,93.541,96.54,97.231
107,102.33,107.0,119.09,111.68,94.2,88.94,87.5,83.72,81.6,73.88,79.965,88.795,74.369,83.313,83.087,80.819,95.878,93.855,96.539,93.426,96.484,96.624
108,102.8,106.14,119.74,111.92,92.99,88.64,87.38,84.31,81.58,73.48,81.22,88.928,73.898,82.779,82.857,80.513,96.736,93.797,96.361,93.209,96.751,96.892
109,101.39,105.79,119.49,111.38,93.96,88.9,87.79,84.57,82.03,72.81,81.43,88.945,74.295,82.456,81.802,80.53,95.721,93.596,96.478,92.941,96.475,96.555
110,101.38,106.43,119.57,111.58,93.8,90.09,87.94,85.51,82.43,73.28,80.28,88.414,74.599,83.002,81.93,80.777,95.552,93.987,96.652,93.117,95.975,96.271
111,101.27,106.62,120.42,111.64,94.03,89.62,88.61,85.31,82.45,74.16,80.78,87.65,75.186,82.969,81.903,80.94,95.031,94.631,97.014,93.165,96.205,95.897
112,100.66,106.56,119.98,111.3,93.43,90.37,88.83,85.4,82.63,73.665,79.83,87.92,74.874,82.894,81.31,80.903,95.336,94.421,96.846,93.406,96.135,96.723
113,101.8,106.09,119.39,111.6,93.3,90.28,89.16,86.02,82.75,74.29,80.59,86.796,74.692,82.507,81.167,80.68,95.237,95.04,96.677,93.359,96.46,97.33
114,101.9,106.11,118.26,111.68,92.64,89.42,88.55,85.73,82.89,74.605,81.555,86.29,76.072,82.346,80.962,80.751,95.102,94.68,96.591,94.426,96.509,96.65
115,102.5,106.53,118.55,111.35,92.8,90.42,88.62,85.64,82.6,74.05,81.13,86.386,76.224,81.967,80.845,80.572,95.262,94.706,97.152,94.447,97.065,96.933
116,102.18,105.52,118.71,111.4,93.07,89.95,87.56,85.52,82.48,73.925,80.575,85.982,75.461,82.216,80.968,80.716,94.49,94.34,96.866,94.457,97.052,97.144
117,102.0,105.94,119.38,110.66,93.61,89.43,88.36,85.92,82.31,73.84,81.01,85.976,75.5,81.586,80.749,80.67,94.241,93.684,97.264,94.729,97.153,97.4
118,102.55,105.94,119.44,110.19,93.64,89.6,88.04,85.76,82.27,73.87,80.63,86.239,74.931,81.734,81.595,80.396,94.272,94.061,97.412,94.716,96.582,97.577
119,102.69,107.02,119.18,109.48,94.45,89.77,88.44,85.34,82.49,73.38,81.14,86.408,75.188,82.488,82.096,80.441,94.515,93.758,97.216,94.404,96.138,96.985
120,102.74,107.4,119.23,108.7,94.47,89.73,89.02,86.01,82.11,73.815,80.175,86.048,75.904,82.442,82.517,80.338,95.645,93.527,97.303,94.18,95.718,96.608
121,102.16,107.72,118.55,108.71,94.83,89.03,88.7,86.45,82.11,73.6,80.88,86.017,76.21,82.662,82.633,80.393,95.418,95.574,96.942,93.939,95.487,97.129
122,101.91,107.77,118.32,108.1,94.55,89.22,88.29,86.1,82.05,73.29,80.69,85.579,75.828,82.539,82.8,80.265,95.387,96.703,97.116,94.346,95.648,97.388
123,102.46,106.98,118.68,107.15,95.4,89.01,88.84,86.1,82.06,72.79,80.105,85.922,75.49,82.81,83.228,80.279,95.651,96.331,96.093,94.969,95.728,97.404
124,102.68,107.19,120.29,106.9,95.49,89.7,88.97,86.27,82.1,72.67,80.115,86.34,75.074,83.007,83.152,80.086,94.95,95.807,95.744,95.096,95.742,97.501
125,102.53,106.56,119.75,106.55,95.11,89.0,88.98,85.5,81.69,72.8,80.425,86.281,74.635,81.753,83.376,79.811,95.661,96.203,95.366,94.349,95.666,97.349
126,103.38,106.58,119.96,106.99,94.65,89.08,90.0,84.9,81.17,72.67,79.875,84.984,74.674,82.008,83.253,79.845,96.509,95.714,95.421,94.779,96.409,97.155
127,103.21,106.66,119.83,107.24,94.4,88.18,90.32,84.85,81.2,72.335,80.38,84.67,74.57,81.872,83.764,79.985,96.29,95.714,95.969,94.412,96.274,97.301
128,103.53,106.97,120.16,107.55,94.75,88.49,90.33,84.8,81.23,73.075,80.665,84.862,74.985,81.872,83.451,80.281,96.29,96.259,95.969,94.412,96.331,97.301
129,103.59,106.8,121.21,107.84,94.9,88.35,90.25,85.25,81.31,72.99,80.695,84.306,75.44,82.942,83.451,80.281,96.477,96.131,96.059,94.223,96.331,96.682
130,103.6,107.14,120.15,108.12,95.9,87.88,90.2,85.03,81.26,72.97,80.865,84.038,75.257,83.561,84.689,80.267,97.076,96.383,95.575,93.769,96.89,96.839
131,103.87,107.34,120.11,106.75,96.19,87.76,90.15,84.64,81.21,73.315,81.005,84.036,75.514,83.351,84.414,80.221,96.472,96.327,95.792,93.807,96.984,96.368
132,104.19,106.65,119.42,106.05,95.89,87.67,89.33,85.16,80.65,72.87,80.05,84.152,76.374,83.559,84.781,80.042,96.788,96.59,95.777,93.889,97.095,96.673
133,104.26,106.8,118.94,106.57,95.67,87.65,88.28,85.03,80.525,72.765,80.43,84.407,76.234,83.728,84.234,80.17,96.172,96.487,95.422,94.486,96.703,96.614
134,104.02,107.82,119.34,106.19,96.13,88.01,89.17,85.6,80.45,72.345,80.3,83.821,75.547,83.809,82.915,80.229,96.998,96.208,95.512,94.564,96.666,96.407
135,103.64,108.27,119.62,106.22,96.37,87.76,89.27,85.51,80.39,72.17,80.37,83.598,75.562,83.474,83.163,80.23,96.784,96.1,95.508,94.5,96.424,96.207
136,103.77,108.18,119.52,105.05,97.22,88.2,89.62,85.78,80.34,72.13,79.46,82.743,75.52,83.218,83.196,80.446,97.279,96.563,94.93,94.272,96.545,96.039
137,103.88,108.45,119.17,104.85,97.0,87.3,89.52,86.68,80.37,72.335,79.37,82.658,75.793,83.168,82.637,80.625,97.806,96.587,94.904,94.704,97.041,96.319
138,102.7,109.06,117.6,104.78,97.19,87.35,89.74,86.73,80.25,72.495,79.505,82.705,75.513,83.196,82.84,80.57,97.989,97.108,94.402,94.811,96.853,95.889
139,102.2,109.31,117.53,104.85,96.82,87.96,89.2,86.18,80.27,72.425,79.05,82.929,75.094,82.98,82.955,80.595,98.161,97.263,94.588,94.942,96.449,95.772
140,101.4,108.34,117.42,104.42,96.42,88.77,88.84,85.94,80.15,72.22,79.09,83.593,74.231,83.573,82.711,80.627,97.426,97.046,94.117,94.226,96.817,95.06
141,101.25,108.22,118.03,105.13,96.67,88.63,89.52,85.67,80.22,72.675,78.86,82.782,74.412,83.815,82.317,80.865,97.722,97.516,93.679,94.44,96.94,94.93
142,101.34,108.44,117.31,107.08,95.6,89.46,89.5,86.08,79.93,73.04,78.97,82.629,74.254,84.145,82.04,80.915,97.226,97.326,93.798,94.388,97.418,94.649
